Population,Household Income,Per Capita Income,Poverty Count,Poverty Rate
14480.0,118933.0,53435.0,209.0,1.4433701657458564
5955.0,101761.0,40122.0,250.0,4.198152812762385
16720.0,151357.0,60222.0,250.0,1.4952153110047848
19843.0,83765.0,39716.0,1174.0,5.916444086075694
39771.0,75418.0,38866.0,2553.0,6.41925020743758
10560.0,95833.0,46986.0,848.0,8.030303030303031
5995.0,125816.0,50536.0,32.0,0.5337781484570475
28694.0,75976.0,36016.0,2244.0,7.820450268348783
35715.0,106332.0,54666.0,1240.0,3.4719305613887723
4302.0,170872.0,75852.0,179.0,4.160855416085542
9520.0,143375.0,64905.0,453.0,4.758403361344538
4791.0,153500.0,103262.0,163.0,3.4022124817365893
7061.0,144766.0,58780.0,310.0,4.390312986829061
18697.0,170945.0,75430.0,576.0,3.080708134994919
13850.0,166548.0,78360.0,414.0,2.9891696750902526
40375.0,84857.0,39344.0,2347.0,5.813003095975232
26103.0,99254.0,45962.0,1041.0,3.988047350879209
35375.0,143292.0,63468.0,1512.0,4.274204946996466
32348.0,99881.0,39431.0,1283.0,3.966242116977866
25961.0,115533.0,51331.0,826.0,3.1816956203536075
30948.0,86644.0,36352.0,2221.0,7.176554219981905
3337.0,138700.0,57005.0,70.0,2.0976925382079714
26524.0,61375.0,31807.0,3447.0,12.995777409138894
23372.0,64238.0,32479.0,3197.0,13.678760910491187
8569.0,113417.0,48049.0,292.0,3.4076321624460264
6697.0,95031.0,38724.0,162.0,2.4189935792145736
13047.0,77697.0,35786.0,1140.0,8.737640836974016
5248.0,20596.0,18543.0,1573.0,29.973323170731707
48295.0,38199.0,16430.0,12324.0,25.518169582772543
25942.0,46629.0,21004.0,5086.0,19.60527330198134
49587.0,73525.0,32504.0,4636.0,9.349224595155988
30170.0,105661.0,51658.0,1479.0,4.902220749088499
16890.0,46102.0,19486.0,4189.0,24.801657785671996
29849.0,52008.0,24920.0,5935.0,19.88341317967101
34756.0,50911.0,28059.0,6961.0,20.028196570376338
29561.0,40982.0,20041.0,6691.0,22.63455228172254
6752.0,84417.0,42351.0,361.0,5.346563981042654
10676.0,93494.0,35060.0,496.0,4.645934807043837
9106.0,77055.0,44528.0,434.0,4.766088293432901
15598.0,124750.0,52597.0,526.0,3.3722272086164895
24894.0,113553.0,51120.0,754.0,3.0288422913151765
30433.0,94817.0,41265.0,1621.0,5.326454835211777
12305.0,101620.0,43685.0,860.0,6.989028850060951
26450.0,93337.0,44843.0,1112.0,4.2041587901701325
24087.0,138006.0,51526.0,552.0,2.2916926142732597
23538.0,118549.0,46239.0,684.0,2.9059393321437677
22579.0,152196.0,74405.0,511.0,2.2631648877275343
1878.0,22057.0,18051.0,459.0,24.440894568690094
48218.0,42851.0,22841.0,10335.0,21.433904351072215
17320.0,88395.0,35962.0,1133.0,6.541570438799076
25590.0,57638.0,24696.0,4900.0,19.148104728409535
28037.0,82188.0,36419.0,2261.0,8.064343546028462
14758.0,105029.0,51759.0,883.0,5.983195554953245
3488.0,81384.0,57969.0,165.0,4.730504587155964
17218.0,78638.0,38491.0,835.0,4.849576025090022
41431.0,77893.0,43766.0,3173.0,7.658516569718327
8228.0,155034.0,64217.0,228.0,2.7710257656781723
2812.0,87986.0,45173.0,152.0,5.405405405405405
27391.0,79795.0,39435.0,1586.0,5.790223065970574
3687.0,109327.0,51532.0,228.0,6.183889340927584
29858.0,65348.0,39670.0,2507.0,8.396409672449595
136.0,-666666666.0,8860.0,106.0,77.94117647058823
13810.0,80829.0,45228.0,968.0,7.009413468501086
13425.0,113509.0,53792.0,301.0,2.2420856610800746
5327.0,105500.0,64841.0,197.0,3.6981415430824103
20393.0,110025.0,64757.0,930.0,4.560388368557838
9656.0,107727.0,46477.0,305.0,3.1586578293289147
17890.0,89887.0,54980.0,1226.0,6.852990497484628
4152.0,90662.0,50366.0,141.0,3.3959537572254335
9035.0,72900.0,32964.0,871.0,9.640287769784173
52313.0,65060.0,35077.0,5101.0,9.75092233288093
7184.0,72015.0,43976.0,442.0,6.152561247216036
6232.0,89338.0,45342.0,337.0,5.407573812580231
42991.0,65476.0,35379.0,6307.0,14.67051243283478
7991.0,112250.0,46157.0,796.0,9.961206357151795
6496.0,131387.0,54091.0,89.0,1.3700738916256157
5179.0,96979.0,45023.0,60.0,1.158524811739718
4545.0,135882.0,58469.0,258.0,5.676567656765677
16929.0,95533.0,45200.0,701.0,4.140823439069053
22829.0,96583.0,50869.0,1348.0,5.904770248368304
8393.0,140000.0,75885.0,318.0,3.7888716787799357
25362.0,89451.0,47960.0,1221.0,4.814289093920038
5922.0,204018.0,106077.0,45.0,0.7598784194528876
4410.0,120250.0,56421.0,260.0,5.895691609977324
17448.0,98199.0,46064.0,849.0,4.8658872077028885
32843.0,111935.0,48712.0,1380.0,4.201808604573273
23047.0,125144.0,69709.0,1299.0,5.636308413242505
10402.0,80584.0,48740.0,509.0,4.893289751970775
65.0,26953.0,25118.0,0.0,0.0
23678.0,111141.0,48061.0,639.0,2.698707661120027
26032.0,92610.0,41767.0,1796.0,6.89920098340504
12610.0,153847.0,69495.0,274.0,2.1728786677240284
13162.0,115432.0,50672.0,689.0,5.234766752773135
8144.0,100230.0,45768.0,357.0,4.383595284872299
11388.0,139137.0,45338.0,268.0,2.353354408148929
10897.0,128563.0,58318.0,380.0,3.4871983114618703
29121.0,87516.0,43258.0,2367.0,8.128154939734213
18042.0,114766.0,54496.0,564.0,3.126039241769205
18148.0,133229.0,63698.0,361.0,1.989199911836015
1572.0,115333.0,33053.0,34.0,2.162849872773537
28338.0,78343.0,35777.0,2325.0,8.204531018420495
19358.0,105420.0,48885.0,402.0,2.076660812067362
15612.0,146042.0,66944.0,289.0,1.8511401486036383
11597.0,107444.0,48677.0,574.0,4.949555919634388
4211.0,126224.0,88470.0,412.0,9.783899311327476
4051.0,129716.0,100108.0,521.0,12.861021969883978
2270.0,108438.0,152610.0,224.0,9.86784140969163
7452.0,39329.0,50468.0,1443.0,19.363929146537842
7464.0,91212.0,72080.0,750.0,10.04823151125402
13247.0,89452.0,77703.0,1710.0,12.9085830754133
29244.0,38759.0,25235.0,5910.0,20.20927369716865
23215.0,103422.0,96844.0,2225.0,9.584320482446694
27325.0,70575.0,61139.0,6425.0,23.513266239707228
28152.0,30663.0,21557.0,8618.0,30.612389883489627
15719.0,32243.0,18566.0,5752.0,36.59265856606655
28479.0,27964.0,18322.0,9782.0,34.3481161557639
24643.0,56024.0,27196.0,4910.0,19.924522176683034
55074.0,50227.0,26379.0,12688.0,23.038094200530196
35254.0,53382.0,28904.0,8277.0,23.47818687241164
29141.0,50039.0,24797.0,5700.0,19.560070004461068
37257.0,91597.0,55042.0,6005.0,16.117776525216737
46655.0,52154.0,26569.0,9431.0,20.21433929911049
18901.0,103834.0,69219.0,3378.0,17.87207026083276
39435.0,84847.0,47422.0,6091.0,15.445670090021554
32819.0,72127.0,36857.0,3801.0,11.581705719247996
28505.0,93343.0,46494.0,1786.0,6.265567444308016
18057.0,49938.0,33179.0,4937.0,27.341197319599047
42644.0,61566.0,37923.0,8415.0,19.733139480348935
33084.0,64877.0,29746.0,4044.0,12.223431265868697
37668.0,87671.0,53368.0,3276.0,8.697037273016884
36979.0,91250.0,48538.0,3943.0,10.662808621109278
19737.0,91596.0,57320.0,2851.0,14.44495110705781
13664.0,77261.0,47278.0,2340.0,17.125292740046838
2929.0,120729.0,86820.0,337.0,11.505633321952885
26773.0,90285.0,46469.0,3761.0,14.047734658051022
24682.0,102033.0,55466.0,2737.0,11.089052750992627
26430.0,68553.0,34795.0,3138.0,11.872871736662884
61375.0,62283.0,29766.0,9714.0,15.827291242362525
44993.0,57143.0,25570.0,6236.0,13.85993376747494
39263.0,51875.0,23338.0,7586.0,19.32098922649823
53873.0,53771.0,27569.0,6943.0,12.887717409462997
18391.0,69928.0,39839.0,1514.0,8.232287531944973
59779.0,86459.0,42073.0,5703.0,9.54013951387611
2569.0,64000.0,34560.0,331.0,12.884390813546126
56541.0,67028.0,37060.0,6857.0,12.127482711660566
19434.0,82159.0,38927.0,1445.0,7.435422455490378
17849.0,78839.0,43287.0,1441.0,8.073281416325845
28132.0,93434.0,49159.0,1087.0,3.8639272003412484
21967.0,90320.0,44920.0,942.0,4.2882505576546635
